game,место,категория_жалобы,доля_в_негативных_%,количество_отзывов
Escape from Tarkov,1,"Оптимизация, FPS и вылеты",21.3,2745
Escape from Tarkov,2,Баги и сломанные механики,18.9,2433
Escape from Tarkov,3,"Интерфейс, UX и лаунчер",17.9,2299
Escape from Tarkov,4,"Серверы, пинг и десинхрон",17.7,2283
Escape from Tarkov,5,"Поддержка, разработчики и коммуникация",17.7,2283
Arena Breakout: Infinite,1,Читы и нечестная игра,27.9,3174
Arena Breakout: Infinite,2,"Прогрессия, гринд, вайпы и лут",21.1,2392
Arena Breakout: Infinite,3,"Контент, эндгейм и однообразие",20.1,2289
Arena Breakout: Infinite,4,"Баланс оружия, брони и матчей",19.8,2246
Arena Breakout: Infinite,5,"Стрельба, движение и TTK",15.2,1729
ARC Raiders,1,"Прогрессия, гринд, вайпы и лут",33.8,17558
ARC Raiders,2,"Контент, эндгейм и однообразие",26.7,13858
ARC Raiders,3,Читы и нечестная игра,21.1,10922
ARC Raiders,4,"Стрельба, движение и TTK",20.9,10848
ARC Raiders,5,"Интерфейс, UX и лаунчер",20.1,10406
Delta Force,1,Читы и нечестная игра,35.4,9451
Delta Force,2,"Контент, эндгейм и однообразие",21.3,5690
Delta Force,3,"Стрельба, движение и TTK",16.7,4471
Delta Force,4,"Интерфейс, UX и лаунчер",15.4,4113
Delta Force,5,"Баланс оружия, брони и матчей",15.1,4039
