категория_жалобы,количество_упоминаний_категории,доля_от_всех_негативных_%,доля_среди_всех_найденных_категорий_%
Читы и нечестная игра,25499,24.8,10.8
"Прогрессия, гринд, вайпы и лут",25375,24.7,10.7
"Контент, эндгейм и однообразие",23139,22.5,9.8
"Интерфейс, UX и лаунчер",18434,17.9,7.8
"Стрельба, движение и TTK",17894,17.4,7.6
"Поддержка, разработчики и коммуникация",17631,17.1,7.5
Баги и сломанные механики,17516,17.0,7.4
"Баланс оружия, брони и матчей",17037,16.6,7.2
"Серверы, пинг и десинхрон",16698,16.2,7.1
Комьюнити и токсичность,13512,13.1,5.7
"Оптимизация, FPS и вылеты",11197,10.9,4.7
Античит и баны,10809,10.5,4.6
Монетизация и pay-to-win,8614,8.4,3.6
"Звук, визуал и читаемость",7479,7.3,3.2
"Сложность, порог входа и онбординг",5553,5.4,2.3
